dropout,epoch,mean_train_loss,std_train_loss,mean_test_loss,std_test_loss,mean_test_acc,std_test_acc,mean_test_error,std_test_error,mean_weight_norm,std_weight_norm
0.0,1,1.6686090295983498,0.06829839581524384,1.5841498342514038,0.01929772498108326,0.4564000000000001,0.02945980312222061,0.5436,0.029459803122220615,41.043890635172524,0.5019109691831833
0.0,2,1.17753677676096,0.07938791106988748,1.3620631370226544,0.1882087456040659,0.5478999999999999,0.06411887397638859,0.4521,0.06411887397638862,44.101993560791016,0.6970990082637144
0.0,3,0.9423941856048499,0.07117198281423008,0.946537358824412,0.04816080196230671,0.6693000000000001,0.012343824366864622,0.3307,0.012343824366864622,46.90013631184896,0.7992021043080517
0.0,4,0.8018973876244982,0.06533944143328435,0.8995476360956828,0.07339096396488128,0.7033666666666667,0.01583961278988013,0.29663333333333336,0.015839612789880126,49.51218032836914,0.7929778360961429
0.0,5,0.7048587002565184,0.04830751970582896,0.8219308040301004,0.013626023250190723,0.7275333333333333,0.009350044563173687,0.2724666666666667,0.009350044563173687,51.906453450520836,0.7884214798563128
0.0,6,0.6341399847190804,0.035695552598946294,0.789499520111084,0.16280311643923795,0.7438666666666668,0.05217991312117462,0.2561333333333333,0.05217991312117462,54.09190114339193,0.7683387275017888
0.0,7,0.5793110022205424,0.032541338150090485,0.7397949531078338,0.049013275771595644,0.7551333333333333,0.014671514350377474,0.24486666666666668,0.014671514350377474,56.09839121500651,0.7442292982218243
0.0,8,0.5413344449856702,0.027294251606246222,0.6524776463667551,0.04208753159602287,0.7848666666666667,0.01267293704447922,0.21513333333333337,0.01267293704447922,57.9701296488444,0.7135054099547817
0.0,9,0.5079547874915326,0.023846419917261455,0.6078541308085125,0.03338235942667034,0.8015666666666666,0.012651218650127471,0.19843333333333335,0.012651218650127471,59.755547841389976,0.7005259160984382
0.0,10,0.48179434216998124,0.021042599124327478,0.6560397429307302,0.03917894512287083,0.7879666666666667,0.007409678355592323,0.21203333333333332,0.007409678355592323,61.44987106323242,0.6831530859717634
0.0,11,0.4566804559080396,0.020179329396753157,0.608502185090383,0.0625960332037674,0.7995666666666668,0.019176635088913107,0.20043333333333332,0.019176635088913107,63.05526351928711,0.6902723742274017
0.0,12,0.43653819701758995,0.014393342150108705,0.5406870856444042,0.052795828593193185,0.8234333333333334,0.0155930540091841,0.17656666666666668,0.0155930540091841,64.60933430989583,0.679445228441016
0.0,13,0.4167815137524333,0.017678802736431104,0.5873459425806999,0.08290526480135733,0.8102,0.018141389141959344,0.18979999999999997,0.018141389141959344,66.11883036295573,0.6579094814340063
0.0,14,0.4001175787519006,0.014423572373513514,0.5764512352307637,0.061348303505981354,0.8139666666666666,0.016683624706080334,0.1860333333333333,0.016683624706080334,67.57799275716145,0.6628247178642391
0.0,15,0.3846419910945551,0.01632368137478131,0.5139453356266022,0.02337003278013842,0.8329666666666666,0.0031069813860616076,0.16703333333333334,0.0031069813860616076,68.97213490804036,0.6573956305551948
0.0,16,0.3676457475340478,0.01349849455472267,0.4779497294108073,0.01644500476980497,0.8467333333333333,0.004800347209664452,0.15326666666666663,0.004800347209664452,70.33027903238933,0.6630148437527371
0.0,17,0.3570594835870813,0.011917432408804956,0.5056892305294672,0.04556664504755345,0.8399,0.012299999999999978,0.16010000000000002,0.012299999999999978,71.63151550292969,0.6474133983534927
0.0,18,0.3419519698045646,0.009691607643404964,0.49356835920810704,0.04741385289859006,0.8424999999999999,0.01183680700189033,0.1575,0.01183680700189033,72.90280405680339,0.6571128844560822
0.0,19,0.3337040335854606,0.00905202712604995,0.5350684038162231,0.10636824750420526,0.8308,0.03224236343694427,0.16920000000000002,0.03224236343694427,74.16514841715495,0.6599685402929507
0.0,20,0.3250260703576902,0.00990624440207597,0.5215412261168162,0.036146869251447444,0.8354333333333334,0.01164316680861927,0.16456666666666667,0.01164316680861927,75.39421844482422,0.6488321026720184
0.0,21,0.31141067244817533,0.010334027792341874,0.4864036545276642,0.028526991583888203,0.8473,0.007049113419430823,0.15270000000000003,0.007049113419430823,76.57834116617839,0.6540810841829519
0.0,22,0.30419484015874954,0.009371015551244009,0.46536315851211546,0.020082184337991978,0.8511666666666665,0.007245918391296812,0.14883333333333335,0.007245918391296812,77.7487284342448,0.6814495762847377
0.0,23,0.29398621045821566,0.008081924944497429,0.48497906988461814,0.02005432019802716,0.8467333333333333,0.007939983207370983,0.15326666666666666,0.007939983207370983,78.90427652994792,0.6875973966719064
0.0,24,0.2855658916548492,0.006859645489819052,0.5064851271947225,0.030906429301643452,0.8448666666666668,0.003027099822162017,0.15513333333333335,0.003027099822162017,80.02907053629558,0.6951697800014048
0.0,25,0.2790900542061754,0.006647302502232687,0.47728174063364665,0.04626747959907872,0.8513000000000001,0.011937755232873567,0.14869999999999997,0.011937755232873567,81.14279174804688,0.6759447709339991
0.0,26,0.2731661528272702,0.006912238416763143,0.5417920286734899,0.0970377926484555,0.8430666666666667,0.022155435751375636,0.15693333333333334,0.022155435751375636,82.23071034749348,0.6769876252606041
0.0,27,0.26429547679444615,0.008114572082080255,0.45707868900299076,0.017724428786971835,0.856,0.003905124837953345,0.144,0.0039051248379533446,83.27590433756511,0.6704555164259091
0.0,28,0.25774434198071994,0.007681759435823085,0.4643503140926361,0.009887777420404477,0.8576,0.005220153254455311,0.1424,0.005220153254455312,84.31741333007812,0.6779637307645356
0.0,29,0.25056325117061,0.008356667421839064,0.47607329276402793,0.04536137240976595,0.8570666666666668,0.01342472842680005,0.14293333333333333,0.01342472842680005,85.35142262776692,0.670043042211213
0.0,30,0.2455929179579807,0.004135098439739043,0.43887436114947004,0.014534839779063634,0.8661,0.002605762844159069,0.1339,0.002605762844159069,86.35801442464192,0.6757572051417924
0.0,31,0.23825709535109116,0.008780477013953365,0.4737374256769817,0.01734313880872213,0.8600666666666666,0.005687119950672112,0.13993333333333335,0.005687119950672112,87.3544413248698,0.666018013740709
0.0,32,0.2315356002871236,0.005600901882759901,0.4398516616503398,0.017673801089989387,0.8663666666666666,0.003521836642056714,0.13363333333333338,0.003521836642056714,88.32400512695312,0.664897338668823
0.0,33,0.22705071068226731,0.006033320221587649,0.4740399679342906,0.025869785823391462,0.8606000000000001,0.007899999999999997,0.13939999999999997,0.007899999999999997,89.28153737386067,0.6549330981039586
0.0,34,0.2234842383381351,0.009698291986886428,0.4493444292068481,0.019294657302674066,0.8629333333333333,0.005253887449625603,0.13706666666666667,0.005253887449625603,90.23044331868489,0.6383571865831816
0.0,35,0.21751462316294565,0.008982716064787993,0.46001730446815486,0.027843615163448243,0.863,0.00564269439186635,0.137,0.00564269439186635,91.15671793619792,0.6207037264895972
0.0,36,0.21344572757287406,0.005889786949544193,0.44921302409172065,0.028923844663498465,0.8676666666666666,0.006616141876753679,0.13233333333333333,0.006616141876753679,92.08257548014323,0.6329037779917459
0.0,37,0.20689015765654561,0.0007339932210747133,0.5126218159198762,0.007097063496184453,0.8507333333333333,0.0074009008460681844,0.14926666666666666,0.0074009008460681844,92.97855631510417,0.6529593833142281
0.0,38,0.20454795112974708,0.007543258432983023,0.43695683075586955,0.024925862749532957,0.8695666666666667,0.008805869254839819,0.1304333333333333,0.008805869254839819,93.87587992350261,0.6439235706334163
0.0,39,0.1960386716572525,0.0045422197468786415,0.44752473469972615,0.0318962188048946,0.8698666666666667,0.005472050194701539,0.13013333333333332,0.005472050194701539,94.74777730305989,0.6326791533649564
0.0,40,0.1947376868494636,0.002145888773816447,0.45630754480361935,0.025193441797347164,0.8686666666666666,0.005946707772653169,0.13133333333333333,0.005946707772653169,95.61478424072266,0.6302430636375183
0.0,41,0.19061507664474786,0.003017320804091256,0.4758721355597178,0.015229402734971809,0.8658666666666667,0.003555746522649403,0.13413333333333335,0.003555746522649403,96.47544860839844,0.6198604165244435
0.0,42,0.18498091090657928,0.004741286900168699,0.4580674825867017,0.02251769681492579,0.8691999999999999,0.005230678732248844,0.1308,0.005230678732248843,97.32774861653645,0.6149343183854967
0.0,43,0.18396615003571484,0.006215029770572475,0.4778660096804301,0.036713552176409606,0.8664,0.010095543571299154,0.13360000000000002,0.010095543571299154,98.15645345052083,0.6024712146994374
0.0,44,0.1789462861413643,0.005700182652577486,0.4530860875606537,0.05896162638424278,0.8720666666666667,0.009255448845589983,0.12793333333333334,0.009255448845589983,98.98566436767578,0.6048689014185014
0.0,45,0.17548069522064258,0.0028766554492295304,0.46024352922439576,0.06387241094716553,0.8728333333333333,0.010227577099847951,0.12716666666666665,0.010227577099847951,99.78821055094402,0.610223183497859
0.0,46,0.1739858848543779,0.007872733230720508,0.4879931468645731,0.03914545803549313,0.8631666666666667,0.009645897228010125,0.13683333333333328,0.009645897228010125,100.59702809651692,0.6060022788678026
0.0,47,0.1682136511844595,0.0067793339014379115,0.4662284622192383,0.038270238359044216,0.8713333333333333,0.004631774318048479,0.12866666666666668,0.004631774318048479,101.38072967529297,0.6042644621806036
0.0,48,0.16654010960881463,0.003272824464029111,0.487977592976888,0.04765806387127261,0.8668333333333335,0.012884228084496692,0.13316666666666666,0.012884228084496692,102.16220601399739,0.6023564766445374
0.0,49,0.1625202176433441,0.0033305870903603883,0.4542662277221679,0.004902273334055774,0.8729666666666667,0.004841831609353373,0.12703333333333336,0.004841831609353373,102.93411763509114,0.6024364724016208
